X         Y         Z                DX           DY           DZ          
31.1904  -77.7735  925.000      -8.35353E+07  9.40967E+07  6.90162E+07
22.1834  -61.2353  908.778      -7.45578E+07  7.06419E+07  9.90851E+07
13.0107  -37.3614  891.655      -1.12622E+08  6.34184E+07  1.44383E+08
7.51714  -13.1788  878.021      -2.56908E+08  1.12063E+08  3.62862E+08
7.33547  15.1584   875.000      -2.30530E+08 -5.64037E+07  2.79925E+08
17.3523  38.7410   892.437      -1.50812E+08 -7.11926E+07  1.93785E+08
23.1342  61.0311   902.140      -9.96464E+07 -6.47382E+07  1.24483E+08
36.1858  80.8956   916.589      -7.26821E+07 -5.30730E+07  8.41775E+07
50.9030  94.6827   932.711      -6.46772E+07 -5.50817E+07  6.21764E+07






